,key,name
,dmm,DMMモバイル
,mineo,mineo
,rakuten,楽天モバイル
,freetel,FREETEL
,rokemoba,ロケットモバイル
,umobile,U-mobile
,dream,DTI
,ocn,OCNモバイルONE
,nifmo,NifMo
,iijmio,IIJmio
,excite,exciteモバイル
,bmobile,b-mobile
