,provider_key,carrier,name,key,parent_key,order,data_n,sms_n,voice_n,capacity,price,phone_base,down_speed,up_speed,voice_price,sms_d,sms_i,carry_over,admin_fee,add_sim,payment_type,SIM発行料,最低利用期間,penalty,start_at,end_at,visible
,,,,,,,0,0,3,20,6080,,,,20円/30秒,,,,3000,,,,12,"通話SIMプランを最低利用期間内に解約される場合、解約手数料（9,000円）が発生いたします。",,,FALSE
,mineo,docomo,ドコモプラン（データ通信のみ）,d-plan-data-0.5,,,1,0,0,0.5,700,,,,,,,,3000,,,,,,,,TRUE
,,,,d-plan-data-1,d-plan-data-0.5,,1,0,0,1,800,,,,,,,,3000,,,,,,,,TRUE
,,,,d-plan-data-3,d-plan-data-0.5,,1,0,0,3,900,,,,,,,,3000,,,,,,,,TRUE
,,,,d-plan-data-5,d-plan-data-0.5,,1,0,0,5,1580,,,,,,,,3000,,,,,,,,TRUE
,,,,d-plan-data-10,d-plan-data-0.5,,1,0,0,10,2520,,,,,,,,3000,,,,,,,,TRUE
,,,ドコモプラン（データ通信＋SMS）,d-plan-sms-0.5,,,0,1,0,0.5,820,,,,,3〜30円/通,,,3000,,,,,,,,TRUE
,,,,d-plan-sms-1,d-plan-sms-0.5,,0,1,0,1,920,,,,,3〜30円/通,,,3000,,,,,,,,TRUE
,,,,d-plan-sms-3,d-plan-sms-0.5,,0,1,0,3,1020,,,,,3〜30円/通,,,3000,,,,,,,,TRUE
,,,,d-plan-sms-5,d-plan-sms-0.5,,0,1,0,5,1700,,,,,3〜30円/通,,,3000,,,,,,,,TRUE
,,,,d-plan-sms-10,d-plan-sms-0.5,,0,1,0,10,2640,,,,,3〜30円/通,,,3000,,,,,,,,TRUE
,,,ドコモプラン（データ通信＋090音声通話）,d-plan-voice-0.5,,,0,0,1,0.5,1400,|840_30|1680_60,,,20円/30秒,3〜30円/通,,,3000,,,,,,,,TRUE
,,,,d-plan-voice-1,d-plan-voice-0.5,,0,0,1,1,1500,|840_30|1680_60,,,20円/30秒,3〜30円/通,,,3000,,,,,,,,TRUE
,,,,d-plan-voice-3,d-plan-voice-0.5,,0,0,1,3,1600,|840_30|1680_60,,,20円/30秒,3〜30円/通,,,3000,,,,,,,,TRUE
,,,,d-plan-voice-5,d-plan-voice-0.5,,0,0,1,5,2280,|840_30|1680_60,,,20円/30秒,3〜30円/通,,,3000,,,,,,,,TRUE
,,,,d-plan-voice-10,d-plan-voice-0.5,,0,0,1,10,3220,|840_30|1680_60,,,20円/30秒,3〜30円/通,,,3000,,,,,,,,TRUE
,,au,auプラン（データ通信のみ）,a-plan-data-0.5,,,0,1,0,0.5,700,,,,,3円/通,,,3000,,,,,,,,TRUE
,,,,a-plan-data-1,a-plan-data-0.5,,0,1,0,1,800,,,,,3円/通,,,3000,,,,,,,,TRUE
,,,,a-plan-data-3,a-plan-data-0.5,,0,1,0,3,900,,,,,3円/通,,,3000,,,,,,,,TRUE
,,,,a-plan-data-5,a-plan-data-0.5,,0,1,0,5,1580,,,,,3円/通,,,3000,,,,,,,,TRUE
,,,,a-plan-data-10,a-plan-data-0.5,,0,1,0,10,2520,,,,,3円/通,,,3000,,,,,,,,TRUE
,,,auプラン（データ通信＋090音声通話）,a-plan-voice-0.5,,,0,0,1,0.5,1310,,,,,3円/通,,,3000,,,,,,,,TRUE
,,,,a-plan-voice-1,a-plan-voice-0.5,,0,0,1,1,1410,,,,,3円/通,,,3000,,,,,,,,TRUE
,,,,a-plan-voice-3,a-plan-voice-0.5,,0,0,1,3,1510,,,,,3円/通,,,3000,,,,,,,,TRUE
,,,,a-plan-voice-5,a-plan-voice-0.5,,0,0,1,5,2190,,,,,3円/通,,,3000,,,,,,,,TRUE
,,,,a-plan-voice-10,a-plan-voice-0.5,,0,0,1,10,3130,,,,,3円/通,,,3000,,,,,,,,TRUE
,rakuten,docomo,データSIM ベーシックプラン,data-basic,,,1,0,0,,525,,,,,,,,3394,,,,,,,,TRUE
,,,データSIM,data-3.1,,,1,0,0,3.1,900,,,,,,,,3394,,,,,,,,TRUE
,,,,data-5,data-3.1,,1,0,0,5,1450,,,,,,,,3394,,,,,,,,TRUE
,,,,data-10,data-3.1,,1,0,0,10,2260,,,,,,,,3394,,,,,,,,TRUE
,,,,data-20,data-3.1,,1,0,0,20,4050,,,,,,,,3394,,,,,,,,TRUE
,,,,data-30,data-3.1,,1,0,0,30,5450,,,,,,,,3394,,,,,,,,TRUE
,,,050データSIM ベーシックプラン,data-050-basic,,,0,1,0,,645,,,,,,,,3394,,,,,,,,TRUE
,,,050データSIM,data-050-3.1,,,0,1,0,3.1,1020,,,,,,,,3394,,,,,,,,TRUE
,,,,data-050-5,data-050-3.1,,0,1,0,5,1570,,,,,,,,3394,,,,,,,,TRUE
,,,,data-050-10,data-050-3.1,,0,1,0,10,2380,,,,,,,,3394,,,,,,,,TRUE
,,,,data-050-20,data-050-3.1,,0,1,0,20,4170,,,,,,,,3394,,,,,,,,TRUE
,,,,data-050-30,data-050-3.1,,0,1,0,30,5520,,,,,,,,3394,,,,,,,,TRUE
,,,通話SIM ベーシックプラン,voice-basic,,,0,0,1,,1250,,,,20円/30秒,3円/通,,,3394,,,,12,"解約手数料9,800円",,,TRUE
,,,通話SIM,voice-3.1,,,0,0,1,3.1,1600,,,,20円/30秒,3円/通,,,3394,,,,12,"解約手数料9,800円",,,TRUE
,,,,voice-5,voice-3.1,,0,0,1,5,2150,,,,20円/30秒,3円/通,,,3394,,,,12,"解約手数料9,800円",,,TRUE
,,,,voice-10,voice-3.1,,0,0,1,10,2960,,,,20円/30秒,3円/通,,,3394,,,,12,"解約手数料9,800円",,,TRUE
,,,,voice-20,voice-3.1,,0,0,1,20,4750,,,,20円/30秒,3円/通,,,3394,,,,12,"解約手数料9,800円",,,TRUE
,,,,voice-30,voice-3.1,,0,0,1,30,6150,,,,20円/30秒,3円/通,,,3394,,,,12,"解約手数料9,800円",,,TRUE
,freetel,docomo,使った分だけ安心プラン（データ）,anshin-data-0.1,,,1,0,0,0.1,299,,,,,3円/通,,,,,,,,,,,TRUE
,,,,anshin-data-1,anshin-data-0.1,,1,0,0,1,499,,,,,3円/通,,,,,,,,,,,TRUE
,,,,anshin-data-3,anshin-data-0.1,,1,0,0,3,900,,,,,3円/通,,,,,,,,,,,TRUE
,,,,anshin-data-5,anshin-data-0.1,,1,0,0,5,1520,,,,,3円/通,,,,,,,,,,,TRUE
,,,,anshin-data-8,anshin-data-0.1,,1,0,0,8,2140,,,,,3円/通,,,,,,,,,,,TRUE
,,,,anshin-data-10,anshin-data-0.1,,1,0,0,10,2470,,,,,3円/通,,,,,,,,,,,TRUE
,,,,anshin-data-15,anshin-data-0.1,,1,0,0,15,3680,,,,,3円/通,,,,,,,,,,,TRUE
,,,,anshin-data-20,anshin-data-0.1,,1,0,0,20,4870,,,,,3円/通,,,,,,,,,,,TRUE
,,,使った分だけ安心プラン（データ・SIMつき）,anshin-sms-0.1,,,0,1,0,0.1,439,,,,,,,,,,,,,,,,TRUE
,,,,anshin-sms-1,anshin-sms-0.1,,0,1,0,1,639,,,,,,,,,,,,,,,,TRUE
,,,,anshin-sms-3,anshin-sms-0.1,,0,1,0,3,1040,,,,,,,,,,,,,,,,TRUE
,,,,anshin-sms-5,anshin-sms-0.1,,0,1,0,5,1660,,,,,,,,,,,,,,,,TRUE
,,,,anshin-sms-8,anshin-sms-0.1,,0,1,0,8,2280,,,,,,,,,,,,,,,,TRUE
,,,,anshin-sms-10,anshin-sms-0.1,,0,1,0,10,2610,,,,,,,,,,,,,,,,TRUE
,,,,anshin-sms-15,anshin-sms-0.1,,0,1,0,15,3820,,,,,,,,,,,,,,,,TRUE
,,,,anshin-sms-20,anshin-sms-0.1,,0,1,0,20,5010,,,,,,,,,,,,,,,,TRUE
,,,使った分だけ安心プラン（音声）,anshin-voice-0.1,,,0,0,1,0.1,999,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,,anshin-voice-1,anshin-voice-0.1,,0,0,1,1,1199,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,,anshin-voice-3,anshin-voice-0.1,,0,0,1,3,1600,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,,anshin-voice-5,anshin-voice-0.1,,0,0,1,5,2220,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,,anshin-voice-8,anshin-voice-0.1,,0,0,1,8,2840,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,,anshin-voice-10,anshin-voice-0.1,,0,0,1,10,3170,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,,anshin-voice-15,anshin-voice-0.1,,0,0,1,15,4380,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,,anshin-voice-20,anshin-voice-0.1,,0,0,1,20,5570,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,定額プラン（データ）,teigaku-data-1,,,1,0,0,1,499,,,,,3円/通,,,"3,000",,,394,,,,,TRUE
,,,,teigaku-data-3,teigaku-data-1,,1,0,0,3,900,,,,,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-data-5,teigaku-data-1,,1,0,0,5,1520,,,,,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-data-8,teigaku-data-1,,1,0,0,8,2140,,,,,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-data-10,teigaku-data-1,,1,0,0,10,2470,,,,,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-data-15,teigaku-data-1,,1,0,0,15,3680,,,,,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-data-20,teigaku-data-1,,1,0,0,20,4870,,,,,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-data-30,teigaku-data-1,,1,0,0,30,6980,,,,,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-data-40,teigaku-data-1,,1,0,0,40,9400,,,,,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-data-50,teigaku-data-1,,1,0,0,50,11800,,,,,3円/通,,,,,,,,,,,TRUE
,,,定額プラン（データ・SMSつき）,teigaku-sms-1,,,0,1,0,1,639,,,,,,,,,,,,,,,,TRUE
,,,,teigaku-sms-3,teigaku-sms-1,,0,1,0,3,1040,,,,,,,,,,,,,,,,TRUE
,,,,teigaku-sms-5,teigaku-sms-1,,0,1,0,5,1660,,,,,,,,,,,,,,,,TRUE
,,,,teigaku-sms-8,teigaku-sms-1,,0,1,0,8,2280,,,,,,,,,,,,,,,,TRUE
,,,,teigaku-sms-10,teigaku-sms-1,,0,1,0,10,2610,,,,,,,,,,,,,,,,TRUE
,,,,teigaku-sms-15,teigaku-sms-1,,0,1,0,15,3820,,,,,,,,,,,,,,,,TRUE
,,,,teigaku-sms-20,teigaku-sms-1,,0,1,0,20,5010,,,,,,,,,,,,,,,,TRUE
,,,,teigaku-sms-30,teigaku-sms-1,,0,1,0,30,7120,,,,,,,,,,,,,,,,TRUE
,,,,teigaku-sms-40,teigaku-sms-1,,0,1,0,40,9540,,,,,,,,,,,,,,,,TRUE
,,,,teigaku-sms-50,teigaku-sms-1,,0,1,0,50,11940,,,,,,,,,,,,,,,,TRUE
,,,定額プラン（音声）,teigaku-voice-1,,,0,0,1,1,1199,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-voice-3,teigaku-voice-1,,0,0,1,3,1600,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-voice-5,teigaku-voice-1,,0,0,1,5,2220,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-voice-8,teigaku-voice-1,,0,0,1,8,2840,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-voice-10,teigaku-voice-1,,0,0,1,10,3170,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-voice-15,teigaku-voice-1,,0,0,1,15,4380,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-voice-20,teigaku-voice-1,,0,0,1,20,5570,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-voice-30,teigaku-voice-1,,0,0,1,30,7680,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-voice-40,teigaku-voice-1,,0,0,1,40,10100,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,,,,teigaku-voice-50,teigaku-voice-1,,0,0,1,50,12500,,,,20円/30秒,3円/通,,,,,,,,,,,TRUE
,rokemoba,docomo,神 プラン,kami-data,,,1,0,0,,298,,200 kbps,,,,,,3000,,,,,,,,TRUE
,,,神 プラン（SMSつき）,kami-sms,,,0,1,0,,448,,200 kbps,,,2〜20円/通,,,3000,,,,,,,,TRUE
,,,神 プラン（通話）,kami-voice,,,0,0,1,,948,,200 kbps,,20円/30秒,,,,3000,,,,,,,,TRUE
,,,スーパー神プラン,super-kami-data,,,1,0,0,,719,,200 kbps,,,,,,3000,,,,,,,,TRUE
,,,スーパー神プラン（SMSつき）,super-kami-sms,,,0,1,0,,869,,200 kbps,,,2〜20円/通,,,3000,,,,,,,,TRUE
,,,Dプラン,d-plan-data-1,,,1,0,0,1,590,,225 Mbps,50 Mbps,,2〜20円/通,,,3000,,,,,,,,TRUE
,,,,d-plan-data-2,d-plan-data-1,,1,0,0,2,690,,,,,2〜20円/通,,,3000,,,,,,,,TRUE
,,,,d-plan-data-3,d-plan-data-1,,1,0,0,3,840,,,,,2〜20円/通,,,3000,,,,,,,,TRUE
,,,,d-plan-data-5,d-plan-data-1,,1,0,0,5,1200,,,,,2〜20円/通,,,3000,,,,,,,,TRUE
,,,,d-plan-data-7,d-plan-data-1,,1,0,0,7,1850,,,,,2〜20円/通,,,3000,,,,,,,,TRUE
,,,Dプラン（SMSつき）,d-plan-sms-1,,,0,1,0,1,740,,,,,,,,,,,,,,,,TRUE
,,,,d-plan-sms-2,d-plan-sms-1,,0,1,0,2,840,,,,,,,,,,,,,,,,TRUE
,,,,d-plan-sms-3,d-plan-sms-1,,0,1,0,3,990,,,,,,,,,,,,,,,,TRUE
,,,,d-plan-sms-5,d-plan-sms-1,,0,1,0,5,1350,,,,,,,,,,,,,,,,TRUE
,,,,d-plan-sms-7,d-plan-sms-1,,0,1,0,7,2000,,,,,,,,,,,,,,,,TRUE
,,,Dプラン（通話）,d-plan-voice-1,,,0,0,1,1,1250,,,,20円/30秒,2〜20円/通,,,3000,,,,12,"1年間の最低利用期間が設定されています。最低利用期間中の解約には、9,500円(税抜)の契約解除料が発生いたします。",,,TRUE
,,,,d-plan-voice-2,d-plan-voice-1,,0,0,1,2,1300,,,,20円/30秒,2〜20円/通,,,3000,,,,12,"1年間の最低利用期間が設定されています。最低利用期間中の解約には、9,500円(税抜)の契約解除料が発生いたします。",,,TRUE
,,,,d-plan-voice-3,d-plan-voice-1,,0,0,1,3,1400,,,,20円/30秒,2〜20円/通,,,3000,,,,12,"1年間の最低利用期間が設定されています。最低利用期間中の解約には、9,500円(税抜)の契約解除料が発生いたします。",,,TRUE
